name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipitation,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
Jashore,4/1/2022,33,27,29.6,43.8,30.6,36.1,25.6,79.8,0,0,0,,0,0,41.4,27.7,189.2,1006.6,55.1,3.7,239.1,20.7,9
Jashore,4/2/2022,33,27,29.4,40.6,30.6,35.1,25.1,78.1,0,0,0,,0,0,40.3,29.5,179.4,1008.2,76,3.6,175.3,15.2,7
Jashore,4/3/2022,33.5,26.7,29.5,42.5,26.7,35.6,25.6,80.1,0,0,0,,0,0,36,25.9,181.9,1007.8,58.6,4.6,180.7,15.6,7
Jashore,4/4/2022,33,27,29.6,40.7,30.1,35.5,25,76.7,0,0,0,,0,0,50,31.7,200.3,1008.5,60.6,3.6,251.9,21.8,8
Jashore,4/5/2022,33,27,29.2,39.3,30.1,33.9,24.3,76.1,0,0,0,rain,0,0,41.8,27.7,192.4,1010.6,46.1,3.7,265.3,22.8,9
Jashore,4/6/2022,33.4,26,29.3,40.9,26,33.9,24.3,75.2,0,0,0,,0,0,44.6,31.7,190.8,1010.4,43,3.8,250.6,21.6,9
Jashore,4/7/2022,34.4,26,29.4,42.2,26,34.1,24.9,77.7,0,0,0,,0,0,31.3,26.1,183,1009.7,35,4,280,24.1,9
Jashore,4/8/2022,34,25.8,29.4,40.6,25.8,33.4,24.1,74.8,0,0,0,,0,0,44.6,29.5,185.2,1007.8,32.8,3.8,281.4,24.4,9
Jashore,4/9/2022,34,26,29.7,42.9,26,35.3,25.1,77.2,0,0,0,,0,0,37.8,25.9,190.8,1006.3,33.7,4.3,277.4,24,9
Jashore,4/10/2022,34.1,27,30,43.7,30.6,36.6,25.6,78.2,0,0,0,,0,0,46.4,29.5,189.3,1004.8,38.2,4,256.4,22.1,9
Jashore,4/11/2022,34.3,27.8,30.3,45.5,31.9,37.7,25.8,77,0,0,0,,0,0,37.1,25.9,186.3,1004,33.6,4.1,255,22,9
Jashore,4/12/2022,33.8,27,29.9,43.9,30.6,36.8,25.8,79.4,0,0,0,,0,0,34.6,25.9,178.7,1004.8,57.3,3.7,249.7,21.5,9
Jashore,4/13/2022,34.2,27.6,30.2,47.3,32.2,37.6,26,78.9,0,0,0,,0,0,40.7,25.9,185.5,1003.4,42,4.3,256.7,22,9
Jashore,4/14/2022,34.6,27.9,30.6,47.4,33,39.1,26.6,79.7,0,0,0,rain,0,0,41.4,29.5,184.9,1001.7,56,3.9,259.8,22.5,9
Jashore,4/15/2022,37,28,31.3,47.6,32.7,38.9,25.7,73.6,0,0,0,,0,0,31.3,25.9,181.3,1001.7,36.8,4.1,288.5,24.8,10
Jashore,4/16/2022,35.5,27,30.8,46.7,30.6,38.6,26.1,76.7,0,0,0,,0,0,35.3,27.7,179.8,1001.7,45.1,3.6,274.1,23.6,9
Jashore,4/17/2022,35.3,27,30.3,43.8,30.6,36.6,25.3,75.9,0,0,0,,0,0,44.6,25.9,174.2,1003.1,41.7,4,290.4,25,9
Jashore,4/18/2022,35.9,27.5,30.7,47.3,32.4,38.7,26.2,77.6,0,0,0,,0,0,39.2,25.9,169.7,1005,49.9,4,283.2,24.4,9
Jashore,4/19/2022,34.3,27,30.4,43.7,30.6,37.8,25.9,77.7,0,0,0,,0,0,39.2,31.7,175.2,1006.6,53.9,4.2,265.3,22.9,9
Jashore,4/20/2022,35,28,30.5,45,32.7,37.8,25.8,76.9,0,0,0,rain,0,0,45,25.9,159.9,1005.9,57.2,3.6,231.6,20,8
Jashore,4/21/2022,35,26,30.5,44.3,26,37.2,25.5,75.4,0,0,0,rain,0,0,28.1,25.9,167.4,1006,59.7,3.6,212.1,18.4,8
Jashore,4/22/2022,36.3,28,31.2,44.7,32.7,38.1,25.1,70.9,0,0,0,rain,0,0,37.8,25.9,176.9,1006.2,61.1,3.7,213.5,18.4,7
Jashore,4/23/2022,39,27,32.3,44.9,30.1,38,24,65,0,0,0,,0,0,32,22.3,193.8,1005.7,34.2,4,277.5,23.9,9
Jashore,4/24/2022,41,28,33.2,47.3,33.6,40.3,24.6,65.5,0,0,0,,0,0,31,24.1,198.6,1003.7,19.5,3.9,290.7,25.3,10
Jashore,4/25/2022,39.2,28.9,32.8,50,35.6,41.7,26.2,70.7,0,0,0,,0,0,30.2,29.5,184.9,1003.6,19.7,4.1,292,25.1,10
Jashore,4/26/2022,38.1,29,32.6,51,36.7,42.7,26.9,73.4,0,0,0,,0,0,33.1,27.7,187.5,1004.2,25.8,4,300.6,26.1,10
Jashore,4/27/2022,37.5,28.6,32.9,49.5,35.1,42.5,26.4,70,0,0,0,,0,0,33.1,27.7,179.9,1003.9,38,4.1,298,25.6,10
Jashore,4/28/2022,37.5,28.8,32.4,50.2,35.6,42.2,26.7,72.9,0,0,0,,0,0,30.6,22.3,184.3,1004.8,38.3,3.6,284.6,24.4,9
Jashore,4/29/2022,37,28.8,31.9,49.5,30.6,40.6,25.9,71.4,0.129,100,4.17,rain,0,0,46.4,31.7,173.8,1004.5,51,3.5,288.5,24.7,10
Jashore,4/30/2022,35,23.4,29.9,44.9,23.4,35,23.4,69,34.177,100,8.33,rain,0,0,45.4,25.9,157,1004.2,65.2,3.2,235.4,20.3,10
Jashore,5/1/2022,34.6,23.1,29.6,42.4,23.1,34.1,23,68.1,2,100,4.17,rain,0,0,29.2,22.3,153,1003.4,62.3,3.4,194.8,16.6,6
Jashore,5/2/2022,34,23,29.2,41.3,23,33.5,23.9,74.2,9.888,100,4.17,rain,0,0,31.7,18.4,153.5,1004.1,58.1,4.7,212.9,18.4,7
Jashore,5/3/2022,30,24,27.8,38.8,24,31.6,23.8,79.5,4.498,100,8.33,rain,0,0,46.4,22.3,128.7,1005.4,75.8,3.3,180.2,15.6,9
Jashore,5/4/2022,33,24.5,29.4,40.6,24.5,34.4,24.6,76,0,0,0,rain,0,0,34.2,14.8,108.6,1006.3,58.5,3.3,194.9,16.8,7
Jashore,5/5/2022,36,25.7,29.9,46.3,25.7,35.6,24.4,73.1,0,0,0,rain,0,0,27.4,22.3,177,1005.5,65,3.1,209.2,18,8
Jashore,5/6/2022,35.3,25.6,30.7,40.6,25.6,34.9,23,64.8,0,0,0,,0,0,30.2,13,138.1,1005,46.7,3.4,202.9,17.5,8
Jashore,5/7/2022,36,27.9,31.6,43.3,32.3,37.7,24.5,67.2,0.289,100,4.17,rain,0,0,15.5,16.6,169.8,1005,47.3,3.6,281.8,24.2,9
Jashore,5/8/2022,35.3,28.3,31.7,43.3,33.1,38,24.5,66.6,0,0,0,,0,0,20.5,24.1,148.2,1004.5,57.7,3.8,277,23.9,9
Jashore,5/9/2022,32,25.5,27.8,40.7,25.5,31.5,24.9,84.4,32.53,100,8.33,rain,0,0,28.4,25.9,113.1,1004.8,81.7,3.4,57.4,4.9,3
Jashore,5/10/2022,33,26.6,29.2,42.4,26.6,35.9,26.1,83.4,11.116,100,8.33,rain,0,0,27.4,14.8,131,1004.6,85.4,3.1,108.1,9.2,4
Jashore,5/11/2022,31,26,28.7,40.6,26,34.6,25.9,85.2,18.725,100,12.5,rain,0,0,38.2,18.4,158.5,1003.8,85.6,2.9,144.6,12.6,6
Jashore,5/12/2022,34,28.3,30.3,43.8,33.6,38.3,26.3,79.5,14.401,100,4.17,rain,0,0,37.8,25.9,183.1,1002.9,62.2,3.4,199.7,17.1,8
Jashore,5/13/2022,34,24,30.6,44,24,38,25.7,75.9,46.85,100,4.17,rain,0,0,64.8,46.4,206.4,1000.3,65.6,3.4,256.4,22,8
Jashore,5/14/2022,34.5,24.5,30.5,46,24.5,38.2,26.1,78.1,29,100,4.17,rain,0,0,55.4,37.1,198,1000.8,65.8,3.3,260.6,22.6,9
Jashore,5/15/2022,35,27,31.2,48.8,30.6,40.5,26.8,78.2,6.931,100,4.17,rain,0,0,55.4,37.1,189.2,1002.5,72.2,3.6,264.3,22.8,9
Jashore,5/16/2022,35,28.4,31.6,48.8,33.6,40.6,26.4,74.2,0,0,0,,0,0,45.4,31.7,182.4,1002,60,4,254.8,22.1,9
Jashore,5/17/2022,35.3,29.3,32,46.7,36.9,41.3,26.5,73.5,0.071,100,4.17,rain,0,0,45.7,31.7,189.2,1001.7,55.8,4,276.8,23.9,9
Jashore,5/18/2022,36,29.4,32.1,48.1,35.1,41.6,26.6,73.4,0,0,0,,0,0,40.7,27.7,191.7,1002.9,55.2,4,247.8,21.5,8
Jashore,5/19/2022,34,28.4,31,47.3,33.5,40.6,27,79.7,0.3,100,4.17,rain,0,0,37.1,33.5,187.4,1003,83,4,212.3,18.3,8
Jashore,5/20/2022,36,29.4,32.3,48.1,37.5,42.7,27.1,74.9,0,0,0,,0,0,33.1,27.7,177.9,1001.2,52,4.1,273.1,23.5,9
Jashore,5/21/2022,36,26.1,31,49.1,26.1,38.6,25.2,71.6,16.332,100,8.33,rain,0,0,64.8,46.4,177.2,998.1,67,3.8,276.3,23.8,9
Jashore,5/22/2022,32,26.9,29.3,37.9,29.4,33.4,23.4,70.7,0,0,0,,0,0,36.4,22.3,199.9,997.6,82.5,3.5,213.2,18.3,7
Jashore,5/23/2022,34.3,26.3,30.7,43.5,26.3,37.2,25.2,73.6,0,0,0,,0,0,26.3,14.8,135.2,999,50.2,3.7,284,24.6,9
Jashore,5/24/2022,34.2,28.4,31,43.6,32.7,38.4,25.5,73.2,3.866,100,4.17,rain,0,0,15.8,22.3,159.1,1002.2,47.6,3.9,270.8,23.7,8
Jashore,5/25/2022,36,25.9,31,43.6,25.9,37.3,25.2,72.9,9.246,100,4.17,rain,0,0,30.2,24.1,209.5,1003.1,53,3.7,262.9,22.7,9
Jashore,5/26/2022,36,26,30.2,46.3,26,35.3,24.5,72.7,1.733,100,4.17,rain,0,0,28.4,18.4,199.3,1002.1,55.3,3.4,272.2,23.5,9
Jashore,5/27/2022,36.3,26.9,31.7,44.1,29.6,37.7,24.3,67.1,0,0,0,,0,0,31.3,13,238.8,999.7,55.4,3.4,276.2,24,9
Jashore,5/28/2022,37.7,27.8,32.4,46.9,32.2,40.5,25.7,69.9,9.155,100,4.17,rain,0,0,25.9,25.9,141.7,999.1,48.4,2.9,281.8,24.2,9
Jashore,5/29/2022,33.2,27,29.7,42.3,30.1,35.8,25.2,77,2.31,100,4.17,rain,0,0,29.9,22.3,85.2,999.9,88.6,3.2,246.6,21.2,9
Jashore,5/30/2022,35,27.6,31.2,46.7,32.5,39.6,26.2,75.2,0,0,0,rain,0,0,24.8,18.4,144.4,1000.1,70.1,3.4,215.1,18.6,7
Jashore,5/31/2022,34,28.9,31,47.3,35.6,40.3,26.9,79.5,0.26,100,4.17,rain,0,0,25.2,16.6,133.4,999.6,71.5,3.4,239.4,20.7,8
Jashore,6/1/2022,33.6,28.6,30.7,45.8,34.2,39.8,26.8,79.9,0,0,0,rain,0,0,29.5,18.4,146.5,999.9,68.9,3.2,181.7,15.7,6
Jashore,6/2/2022,35,28.3,31.3,48.8,32.5,40.5,26.6,76.5,0.578,100,4.17,rain,0,0,27,20.5,165,1000.1,77.5,3.5,120.7,10.1,6
Jashore,6/3/2022,34,27.4,30.6,47.3,31.3,39.4,26.5,79.2,0,0,0,rain,0,0,33.5,20.5,170.4,999.8,82.3,3.1,140.5,12.2,6
Jashore,6/4/2022,35,29.6,32.2,47.3,36.5,42.8,27.2,75.9,0.029,100,4.17,rain,0,0,39.2,27.7,184.6,1000.8,64,3.5,242.3,20.9,8
Jashore,6/5/2022,36,29.5,32.5,48.8,38.2,43.3,27.2,74.5,0,0,0,,0,0,41.4,29.5,181.1,1001.1,56.9,3.8,240.5,20.6,7
Jashore,6/6/2022,36,29.6,32.3,48.1,38.1,42.6,27,74.3,0,0,0,rain,0,0,41.8,27.7,183.7,1000.6,51.4,4,236.5,20.4,8
Jashore,6/7/2022,36,29.7,32.5,48.1,38.4,43,27.1,73.9,0,0,0,,0,0,35.3,27.7,185,999.7,62.8,3.7,240.3,20.7,8
Jashore,6/8/2022,36,28,32,50.2,33.6,41.9,26.8,74.7,0,0,0,,0,0,38.5,27.7,177.8,999.1,67.9,3.5,239.4,20.7,8
Jashore,6/9/2022,35,26.4,31.5,48.8,26.4,41.7,26.9,77.2,3.845,100,8.33,rain,0,0,43.2,25.9,183.6,999,75.1,3.6,198.4,17.1,8
Jashore,6/10/2022,34.7,26,30.1,47.3,26,36.6,25.1,74.9,2,100,4.17,rain,0,0,46.1,27.7,173.5,999.9,73,3.6,235.6,20.4,8
Jashore,6/11/2022,33,28,30.5,45.8,32.7,39.7,26.9,81.3,5.198,100,4.17,rain,0,0,44.6,33.5,179,1000,73.7,3.5,227.4,19.6,9
Jashore,6/12/2022,35,28.3,31.7,51,34.4,42.7,27.5,78.9,0,0,0,,0,0,40,25.9,175,1000.9,53.4,3.8,224,19.4,9
Jashore,6/13/2022,36,29.6,32.6,50.2,38.5,44,27.5,75.4,0,0,0,,0,0,42.8,27.7,181.1,1001.9,47.3,4,251.1,21.7,9
Jashore,6/14/2022,36.3,25,31.9,50.2,25,41.9,27,76.3,0,0,0,,0,0,64.8,46.4,185.6,1001.7,61.5,3.6,232.5,20.2,8
Jashore,6/15/2022,34,27.5,30.5,45.3,32.6,39.1,26.7,80.3,59.625,100,4.17,rain,0,0,44.3,22.3,203.2,1002,84.1,3.3,161.6,13.9,7
Jashore,6/16/2022,35,29.5,31.5,47.3,37.4,41.4,27,77.3,0,0,0,,0,0,44.6,25.9,198.7,1002.7,79.3,3.9,159.1,13.7,6
Jashore,6/17/2022,34,26.7,30.3,45.3,29.6,37.8,25.9,78,5.289,100,8.33,rain,0,0,55.4,37.1,210.5,1003.3,80.4,3.5,193.1,16.7,8
